taxon,t5,t16,t23,t10,t6,t1,t11,t18,t26,t20,t4,t8,t15,t28,t21,t14,t19,t13,t30,t7,t3,t17,t24,t29,t27,t9,t25,t22,t12,t2
t5,0,0.89304568318193644,1.6975232848805737,1.3620391213478242,1.4674755843137168,1.3378434746841583,1.6070522940391125,1.7786834733607484,1.4963252949345636,1.641942305765282,1.5263292958948378,1.5263292958948378,1.641942305765282,2.1269126794590698,2.0616541467168483,1.6785349288923559,1.6785349288923559,1.7370060849946398,1.8228138483779481,1.8004241260156872,1.8228138483779481,1.8458925923780138,1.6785349288923559,1.6975232848805737,1.7170048996830189,1.9197226469879514,1.5111772654066988,1.5417937612968899,1.6975232848805737,1.9197226469879514
t16,0.89304568318193644,0,1.5901976521500683,1.6070522940391125,1.5263292958948378,1.6785349288923559,1.8697041161139474,1.6600154694495777,1.5901976521500683,1.6975232848805737,1.5417937612968899,1.5417937612968899,1.7370060849946398,1.6975232848805737,1.6975232848805737,1.8458925923780138,2.0616541467168483,1.5263292958948378,1.5737134721109867,1.6785349288923559,1.9197226469879514,1.9197226469879514,1.5737134721109867,1.8004241260156872,1.6600154694495777,2.0616541467168483,1.757555315635726,1.7170048996830189,2.0310376508266565,1.641942305765282
t23,1.6975232848805737,1.5901976521500683,0,0.43844383050419988,0.64351636781263444,0.6922347900187138,1.5111772654066988,1.5575838181952646,1.6600154694495777,1.6242944327076363,1.4534564845546023,1.5901976521500683,1.4534564845546023,1.8228138483779481,1.6975232848805737,1.9197226469879514,1.3620391213478242,1.6785349288923559,1.5263292958948378,1.6600154694495777,1.6785349288923559,1.5901976521500683,1.6242944327076363,2.1983953143123132,1.9197226469879514,1.5417937612968899,1.6600154694495777,1.8458925923780138,1.5263292958948378,1.4963252949345636
t10,1.3620391213478242,1.6070522940391125,0.43844383050419988,0,0.72832422627686255,0.76623843564898575,1.4129060686018955,1.3378434746841583,1.5575838181952646,1.6975232848805737,1.3998622615679932,1.6600154694495777,1.5575838181952646,1.9197226469879514,1.7786834733607484,1.894296483231191,1.3870414365485186,1.6242944327076363,1.5417937612968899,1.8697041161139474,1.8004241260156872,1.6785349288923559,1.8004241260156872,1.7786834733607484,1.8004241260156872,1.5737134721109867,1.4261807514264462,1.6600154694495777,1.6242944327076363,1.6600154694495777
t6,1.4674755843137168,1.5263292958948378,0.64351636781263444,0.72832422627686255,0,0.41373571371468421,1.3260322069580539,1.3620391213478242,1.6070522940391125,1.4963252949345636,1.6242944327076363,1.4817617305417374,1.7370060849946398,1.5417937612968899,1.5417937612968899,1.9197226469879514,1.4396946305534546,1.4396946305534546,1.6785349288923559,1.641942305765282,1.6600154694495777,1.5263292958948378,1.7370060849946398,1.7786834733607484,1.5901976521500683,1.7170048996830189,1.6242944327076363,1.5575838181952646,1.641942305765282,1.7170048996830189
t1,1.3378434746841583,1.6785349288923559,0.6922347900187138,0.76623843564898575,0.41373571371468421,0,1.2696146410298634,1.4817617305417374,1.6070522940391125,1.9460411368464041,1.3998622615679932,1.3144040670560801,1.6785349288923559,1.8458925923780138,1.7786834733607484,1.6975232848805737,1.4674755843137168,1.7170048996830189,1.6242944327076363,1.7370060849946398,1.8697041161139474,1.7786834733607484,1.8697041161139474,1.8458925923780138,1.641942305765282,1.6242944327076363,1.9197226469879514,1.6785349288923559,1.757555315635726,2.3657529777979707
t11,1.6070522940391125,1.8697041161139474,1.5111772654066988,1.4129060686018955,1.3260322069580539,1.2696146410298634,0,1.0377234327753055,1.4963252949345636,1.2916750549345832,1.4817617305417374,1.6070522940391125,2.0310376508266565,1.9197226469879514,2.0016221159616951,1.8458925923780138,2.1269126794590698,1.6070522940391125,1.5737134721109867,1.8228138483779481,1.8228138483779481,1.894296483231191,1.3620391213478242,1.5575838181952646,1.5737134721109867,1.6600154694495777,1.6600154694495777,1.8004241260156872,1.6975232848805737,1.8228138483779481
t18,1.7786834733607484,1.6600154694495777,1.5575838181952646,1.3378434746841583,1.3620391213478242,1.4817617305417374,1.0377234327753055,0,1.6975232848805737,1.3029534629579889,1.5901976521500683,1.5111772654066988,1.6242944327076363,1.5417937612968899,1.6242944327076363,1.5901976521500683,1.6600154694495777,2.1983953143123132,1.6975232848805737,1.6242944327076363,1.6975232848805737,1.4674755843137168,2.0016221159616951,1.894296483231191,1.5263292958948378,2.0616541467168483,1.6975232848805737,1.4534564845546023,1.8004241260156872,1.5417937612968899
t26,1.4963252949345636,1.5901976521500683,1.6600154694495777,1.5575838181952646,1.6070522940391125,1.6070522940391125,1.4963252949345636,1.6975232848805737,0,0.79454368163612132,1.4534564845546023,1.6242944327076363,1.5263292958948378,1.4261807514264462,1.3744360978112324,1.4963252949345636,1.5417937612968899,1.4817617305417374,1.7786834733607484,2.0016221159616951,2.0016221159616951,1.8228138483779481,2.0616541467168483,1.8458925923780138,1.5737134721109867,2.0016221159616951,1.5111772654066988,1.5417937612968899,1.8004241260156872,1.9733168699745609
t20,1.641942305765282,1.6975232848805737,1.6242944327076363,1.6975232848805737,1.4963252949345636,1.9460411368464041,1.2916750549345832,1.3029534629579889,0.79454368163612132,0,1.757555315635726,1.3029534629579889,1.8697041161139474,1.5111772654066988,1.5737134721109867,1.6785349288923559,1.6600154694495777,1.5111772654066988,1.7170048996830189,1.6600154694495777,1.6070522940391125,1.6975232848805737,1.641942305765282,1.9460411368464041,1.5263292958948378,1.6600154694495777,1.641942305765282,1.5111772654066988,1.9197226469879514,2.3202845114356441
