taxon,t1,t19,t9,t16,t11,t28,t6,t30,t25,t24,t22,t12,t7,t18,t23,t21,t17,t10,t14,t2,t3,t8,t20,t5,t27,t15,t29,t13,t26,t4
t1,0,0.13,0.34000000000000002,0.35999999999999999,0.35000000000000003,0.34000000000000002,0.41000000000000003,0.58999999999999997,0.62,0.77000000000000002,0.78000000000000003,0.75,0.83999999999999997,0.82000000000000006,0.82000000000000006,0.83999999999999997,0.83000000000000007,0.80000000000000004,0.82000000000000006,0.80000000000000004,1.0600000000000001,1.05,1.04,1.0600000000000001,0.91000000000000003,0.93000000000000005,0.93000000000000005,0.93000000000000005,1,0.97999999999999998
t19,0.13,0,0.31,0.32000000000000001,0.31,0.29999999999999999,0.35999999999999999,0.54000000000000004,0.57999999999999996,0.73999999999999999,0.73999999999999999,0.75,0.79000000000000004,0.77000000000000002,0.78000000000000003,0.81000000000000005,0.81000000000000005,0.76000000000000001,0.79000000000000004,0.76000000000000001,1.02,1.03,1.03,1.04,0.90000000000000002,0.93000000000000005,0.91000000000000003,0.91000000000000003,0.97999999999999998,0.95999999999999996
t9,0.34000000000000002,0.31,0,0.28999999999999998,0.31,0.31,0.40000000000000002,0.57999999999999996,0.59999999999999998,0.77000000000000002,0.76000000000000001,0.77000000000000002,0.81000000000000005,0.81000000000000005,0.80000000000000004,0.82000000000000006,0.81000000000000005,0.76000000000000001,0.81000000000000005,0.80000000000000004,1.05,1.04,1.04,1.05,0.90000000000000002,0.95000000000000007,0.92000000000000004,0.91000000000000003,1,0.97999999999999998
t16,0.35999999999999999,0.32000000000000001,0.28999999999999998,0,0.23999999999999999,0.23000000000000001,0.39000000000000001,0.60999999999999999,0.60999999999999999,0.75,0.73999999999999999,0.73999999999999999,0.79000000000000004,0.78000000000000003,0.77000000000000002,0.81000000000000005,0.79000000000000004,0.78000000000000003,0.80000000000000004,0.78000000000000003,1.02,1.04,1.05,1.05,0.87,0.93000000000000005,0.93000000000000005,0.95000000000000007,0.95999999999999996,0.93000000000000005
t11,0.35000000000000003,0.31,0.31,0.23999999999999999,0,0.11,0.39000000000000001,0.59999999999999998,0.60999999999999999,0.73999999999999999,0.72999999999999998,0.72999999999999998,0.77000000000000002,0.77000000000000002,0.77000000000000002,0.79000000000000004,0.77000000000000002,0.72999999999999998,0.79000000000000004,0.77000000000000002,1,0.98999999999999999,1.01,1.01,0.88,0.92000000000000004,0.88,0.91000000000000003,0.93000000000000005,0.90000000000000002
t28,0.34000000000000002,0.29999999999999999,0.31,0.23000000000000001,0.11,0,0.35999999999999999,0.59999999999999998,0.59999999999999998,0.75,0.73999999999999999,0.70999999999999996,0.76000000000000001,0.75,0.76000000000000001,0.79000000000000004,0.78000000000000003,0.75,0.78000000000000003,0.76000000000000001,1.03,1.02,1.02,1.03,0.87,0.91000000000000003,0.87,0.88,0.94000000000000006,0.91000000000000003
t6,0.41000000000000003,0.35999999999999999,0.40000000000000002,0.39000000000000001,0.39000000000000001,0.35999999999999999,0,0.55000000000000004,0.57000000000000006,0.78000000000000003,0.78000000000000003,0.78000000000000003,0.80000000000000004,0.78000000000000003,0.81000000000000005,0.81000000000000005,0.80000000000000004,0.76000000000000001,0.81000000000000005,0.78000000000000003,1.05,1.04,1.04,1.0800000000000001,0.89000000000000001,0.96999999999999997,0.91000000000000003,0.90000000000000002,0.95999999999999996,0.93000000000000005
t30,0.58999999999999997,0.54000000000000004,0.57999999999999996,0.60999999999999999,0.59999999999999998,0.59999999999999998,0.55000000000000004,0,0.34000000000000002,0.81000000000000005,0.81000000000000005,0.79000000000000004,0.82000000000000006,0.80000000000000004,0.82000000000000006,0.85999999999999999,0.83000000000000007,0.79000000000000004,0.82000000000000006,0.80000000000000004,1.05,1.02,1.05,1.05,0.95000000000000007,1.03,0.97999999999999998,0.96999999999999997,1.0600000000000001,1.05
t25,0.62,0.57999999999999996,0.59999999999999998,0.60999999999999999,0.60999999999999999,0.59999999999999998,0.57000000000000006,0.34000000000000002,0,0.72999999999999998,0.75,0.73999999999999999,0.76000000000000001,0.73999999999999999,0.76000000000000001,0.77000000000000002,0.73999999999999999,0.70999999999999996,0.73999999999999999,0.71999999999999997,1,1.02,1.03,1.02,0.87,0.92000000000000004,0.92000000000000004,0.94000000000000006,1.05,1.03
t24,0.77000000000000002,0.73999999999999999,0.77000000000000002,0.75,0.73999999999999999,0.75,0.78000000000000003,0.81000000000000005,0.72999999999999998,0,0.14999999999999999,0.23000000000000001,0.35000000000000003,0.34000000000000002,0.35000000000000003,0.5,0.52000000000000002,0.45000000000000001,0.51000000000000001,0.47999999999999998,1.03,1.05,1.03,1.04,0.89000000000000001,0.94000000000000006,0.88,0.89000000000000001,1.04,1.01
