taxon,t7,t14,t22,t28,t16,t5,t17,t6,t30,t8,t12,t2,t4,t25,t18,t19,t13,t11,t29,t24,t3,t27,t1,t20,t10,t23,t15,t21,t9,t26
t7,0,0.70000000000000007,1.05,0.70000000000000007,1.1400000000000001,1.5800000000000001,0.88,0.95000000000000007,0.91000000000000003,1.1400000000000001,1.26,0.67000000000000004,1.22,1.5700000000000001,1.6100000000000001,1.29,2.0499999999999998,1.9000000000000001,2.2800000000000002,1.8100000000000001,2.1400000000000001,2.0800000000000001,2.0899999999999999,1.05,1.21,1.24,1.3,1.6300000000000001,1.73,1.6100000000000001
t14,0.70000000000000007,0,1.4000000000000001,1,1.3700000000000001,1.8200000000000001,1.23,1.1799999999999999,1.21,1.5,1.48,1.01,1.5,1.73,1.72,1.5,2.3399999999999999,2.1299999999999999,2.5300000000000002,2.0499999999999998,2.2000000000000002,2.21,2.0899999999999999,1.3,1.4199999999999999,1.46,1.54,1.79,1.8900000000000001,1.79
t22,1.05,1.4000000000000001,0,1.3700000000000001,1.6600000000000001,2.27,1.4399999999999999,1.48,1.6100000000000001,1.76,1.9100000000000001,1.4199999999999999,1.9100000000000001,2.2600000000000002,2.3700000000000001,1.97,2.5500000000000003,2.5800000000000001,3.0500000000000003,2.6099999999999999,2.5500000000000003,2.4399999999999999,2.46,1.8500000000000001,1.8600000000000001,1.9199999999999999,1.97,2.2200000000000002,2.2400000000000002,2.1899999999999999
t28,0.70000000000000007,1,1.3700000000000001,0,1.04,1.78,1.2,1.23,1.24,1.53,1.6400000000000001,0.96999999999999997,1.47,1.5900000000000001,1.6400000000000001,1.52,2.3500000000000001,2.0699999999999998,2.3199999999999998,1.9100000000000001,2.1600000000000001,2.29,2.25,1.3,1.4299999999999999,1.51,1.55,1.8,1.8700000000000001,1.75
t16,1.1400000000000001,1.3700000000000001,1.6600000000000001,1.04,0,2.1099999999999999,1.48,1.4299999999999999,1.5600000000000001,1.75,1.8600000000000001,1.5,1.9000000000000001,2.1099999999999999,2.1800000000000002,1.95,2.7000000000000002,2.52,2.8000000000000003,2.5500000000000003,2.6499999999999999,2.46,2.3799999999999999,1.8300000000000001,1.9100000000000001,1.98,1.99,2.29,2.3599999999999999,2.21
t5,1.5800000000000001,1.8200000000000001,2.27,1.78,2.1099999999999999,0,1.8400000000000001,1.8600000000000001,2.0100000000000002,2.0800000000000001,2.3999999999999999,1.74,2.4300000000000002,2.5,2.6699999999999999,2.3399999999999999,2.7600000000000002,2.75,3.21,2.6600000000000001,2.8000000000000003,2.8199999999999998,2.9300000000000002,2.2000000000000002,2.23,2.2600000000000002,2.3399999999999999,2.5100000000000002,2.46,2.4199999999999999
t17,0.88,1.23,1.4399999999999999,1.2,1.48,1.8400000000000001,0,0.76000000000000001,1.4099999999999999,1.6300000000000001,1.75,1.1500000000000001,1.6000000000000001,1.8700000000000001,1.97,1.6899999999999999,2.2400000000000002,2.21,2.5300000000000002,2.2000000000000002,2.4300000000000002,2.2000000000000002,2.2200000000000002,1.51,1.6200000000000001,1.73,1.8,1.9199999999999999,2.0499999999999998,1.8600000000000001
t6,0.95000000000000007,1.1799999999999999,1.48,1.23,1.4299999999999999,1.8600000000000001,0.76000000000000001,0,1.46,1.6200000000000001,1.8300000000000001,1.3100000000000001,1.8100000000000001,2.0800000000000001,2.1000000000000001,1.8200000000000001,2.4500000000000002,2.3100000000000001,2.7000000000000002,2.3300000000000001,2.3599999999999999,2.3500000000000001,2.3199999999999998,1.5700000000000001,1.6600000000000001,1.78,1.8100000000000001,2.0899999999999999,2.1600000000000001,2.0699999999999998
t30,0.91000000000000003,1.21,1.6100000000000001,1.24,1.5600000000000001,2.0100000000000002,1.4099999999999999,1.46,0,0.58999999999999997,0.80000000000000004,0.76000000000000001,1.3900000000000001,1.6500000000000001,1.8200000000000001,1.4299999999999999,2.3399999999999999,2.1699999999999999,2.4900000000000002,2.04,2.3199999999999998,2.2000000000000002,2.2200000000000002,1.1200000000000001,1.21,1.3900000000000001,1.45,1.6300000000000001,1.72,1.53
t8,1.1400000000000001,1.5,1.76,1.53,1.75,2.0800000000000001,1.6300000000000001,1.6200000000000001,0.58999999999999997,0,1.1699999999999999,1.1400000000000001,1.73,1.8400000000000001,2.0699999999999998,1.6799999999999999,2.3100000000000001,2.1800000000000002,2.71,2.1699999999999999,2.6400000000000001,2.3500000000000001,2.3500000000000001,1.49,1.6200000000000001,1.73,1.73,2.0699999999999998,2.0800000000000001,2
