taxon,t19,t10,t1,t9,t13,t7,t27,t18,t24,t16,t21,t23,t3,t4,t25,t2,t5,t30,t6,t8,t20,t22,t14,t28,t29,t12,t11,t26,t15,t17
t19,0,1.1899999999999999,1.3200000000000001,3.3000000000000003,3.3999999999999999,3.3300000000000001,3.0100000000000002,3.7000000000000002,3.5100000000000002,3.3700000000000001,3.2000000000000002,3.23,3.54,3.6800000000000002,3.3399999999999999,3.54,3.3399999999999999,3.2000000000000002,3.0100000000000002,3.1899999999999999,3.2000000000000002,3.3599999999999999,3.3999999999999999,3.4500000000000002,3.29,3.0700000000000003,3.2200000000000002,3.2400000000000002,2.8500000000000001,2.8399999999999999
t10,1.1899999999999999,0,1.3,3.5700000000000003,3.4500000000000002,3.4300000000000002,3.23,3.4500000000000002,3.9700000000000002,3.5899999999999999,3.5800000000000001,3.7200000000000002,3.3799999999999999,3.5100000000000002,3.2800000000000002,3.21,3.3900000000000001,3.1600000000000001,3.2600000000000002,3.52,3.0899999999999999,3.3100000000000001,3.3300000000000001,3.2600000000000002,3.4500000000000002,3.4199999999999999,3.04,3.1899999999999999,3.0500000000000003,3.1499999999999999
t1,1.3200000000000001,1.3,0,3.5800000000000001,3.2000000000000002,3.1800000000000002,3.3200000000000003,3.3200000000000003,3.3300000000000001,3.3799999999999999,3.4399999999999999,3.3799999999999999,3.3100000000000001,3.8599999999999999,3.2600000000000002,3.1600000000000001,3.5,3.1600000000000001,3.21,3.1899999999999999,3.27,3.7200000000000002,3.6800000000000002,3.29,3.4100000000000001,3.52,3.0100000000000002,2.9100000000000001,2.9900000000000002,3.0700000000000003
t9,3.3000000000000003,3.5700000000000003,3.5800000000000001,0,1.9299999999999999,1.9199999999999999,2.0600000000000001,2.1699999999999999,1.9000000000000001,1.8100000000000001,1.8400000000000001,1.8800000000000001,1.8900000000000001,1.9000000000000001,1.95,1.8900000000000001,1.8600000000000001,1.8500000000000001,2.46,2.6200000000000001,3.3999999999999999,3.27,3.3100000000000001,3.23,3.0800000000000001,3.6099999999999999,3.5,3.0800000000000001,3.3100000000000001,3.46
t13,3.3999999999999999,3.4500000000000002,3.2000000000000002,1.9299999999999999,0,0.02,1.4299999999999999,1.49,1.72,1.6699999999999999,1.6200000000000001,1.73,1.49,1.5900000000000001,1.72,1.6699999999999999,2.25,2.1499999999999999,2.4900000000000002,2.5,4.3200000000000003,3.3399999999999999,3.3700000000000001,3.29,3.48,3.3900000000000001,3.5800000000000001,3.46,3.6899999999999999,3.5800000000000001
t7,3.3300000000000001,3.4300000000000002,3.1800000000000002,1.9199999999999999,0.02,0,1.4199999999999999,1.46,1.71,1.6699999999999999,1.6200000000000001,1.72,1.51,1.5700000000000001,1.7,1.6500000000000001,2.25,2.1200000000000001,2.52,2.5,4.29,3.3599999999999999,3.3900000000000001,3.2600000000000002,3.4900000000000002,3.3399999999999999,3.5500000000000003,3.5,3.6600000000000001,3.52
t27,3.0100000000000002,3.23,3.3200000000000003,2.0600000000000001,1.4299999999999999,1.4199999999999999,0,0.83000000000000007,1.6500000000000001,1.6400000000000001,1.6100000000000001,1.6500000000000001,1.6899999999999999,1.6100000000000001,1.8,1.77,2.29,2.1099999999999999,2.5800000000000001,2.7200000000000002,3.3300000000000001,3.04,3.0600000000000001,3.2400000000000002,3.1600000000000001,3.27,3.6000000000000001,3.3200000000000003,3.2200000000000002,3.3599999999999999
t18,3.7000000000000002,3.4500000000000002,3.3200000000000003,2.1699999999999999,1.49,1.46,0.83000000000000007,0,1.6000000000000001,1.5700000000000001,1.5600000000000001,1.6699999999999999,1.5900000000000001,1.5700000000000001,1.71,1.6000000000000001,2.2000000000000002,2.1000000000000001,2.2800000000000002,2.5600000000000001,3.3100000000000001,3.1600000000000001,3.0600000000000001,3.2000000000000002,3.0600000000000001,3.5600000000000001,3.52,3.1099999999999999,3.4399999999999999,3.54
t24,3.5100000000000002,3.9700000000000002,3.3300000000000001,1.9000000000000001,1.72,1.71,1.6500000000000001,1.6000000000000001,0,0.68000000000000005,0.69000000000000006,0.87,1.3200000000000001,1.3300000000000001,1.4299999999999999,1.3900000000000001,2.1000000000000001,1.96,2.2600000000000002,2.3900000000000001,3,3.1800000000000002,3.1600000000000001,3.1800000000000002,3.3200000000000003,2.96,3.21,3.1200000000000001,3.2000000000000002,3.1200000000000001
t16,3.3700000000000001,3.5899999999999999,3.3799999999999999,1.8100000000000001,1.6699999999999999,1.6699999999999999,1.6400000000000001,1.5700000000000001,0.68000000000000005,0,0.23000000000000001,0.84999999999999998,1.3,1.29,1.4099999999999999,1.3,2.02,2,2.3000000000000003,2.3399999999999999,3.02,2.98,3.0700000000000003,3.1000000000000001,3.3700000000000001,3.1000000000000001,2.8399999999999999,2.8300000000000001,3.0500000000000003,3.1800000000000002
