taxon,t23,t22,t2,t24,t16,t5,t14,t15,t6,t8,t7,t10,t25,t17,t1,t12,t27,t19,t3,t18,t4,t28,t26,t11,t9,t13,t30,t29,t21,t20
t23,0,0.050000000000000003,0.52000000000000002,0.5,0.54000000000000004,0.47999999999999998,0.51000000000000001,1.25,1.24,1.45,1.3900000000000001,1.6200000000000001,1.6500000000000001,1.6799999999999999,1.6899999999999999,1.8100000000000001,1.6799999999999999,1.6699999999999999,1.7,1.77,1.77,1.8700000000000001,1.8100000000000001,1.8300000000000001,1.73,1.79,1.79,1.77,1.8,1.8300000000000001
t22,0.050000000000000003,0,0.52000000000000002,0.5,0.54000000000000004,0.47000000000000003,0.51000000000000001,1.26,1.25,1.49,1.4099999999999999,1.6400000000000001,1.7,1.72,1.6899999999999999,1.8100000000000001,1.71,1.6899999999999999,1.72,1.77,1.8400000000000001,1.9100000000000001,1.8400000000000001,1.8500000000000001,1.75,1.8100000000000001,1.8200000000000001,1.79,1.8300000000000001,1.8
t2,0.52000000000000002,0.52000000000000002,0,0.23999999999999999,0.40000000000000002,0.35999999999999999,0.39000000000000001,1.3600000000000001,1.3100000000000001,1.4399999999999999,1.5,1.6000000000000001,1.6899999999999999,1.6899999999999999,1.71,1.76,1.75,1.6000000000000001,1.6000000000000001,1.73,1.77,1.8,1.8300000000000001,1.8300000000000001,1.79,1.8200000000000001,1.73,1.72,1.73,1.76
t24,0.5,0.5,0.23999999999999999,0,0.40000000000000002,0.37,0.38,1.3,1.21,1.45,1.45,1.6600000000000001,1.6799999999999999,1.72,1.73,1.78,1.74,1.6799999999999999,1.6699999999999999,1.8300000000000001,1.78,1.8400000000000001,1.77,1.79,1.75,1.79,1.6899999999999999,1.73,1.71,1.8
t16,0.54000000000000004,0.54000000000000004,0.40000000000000002,0.40000000000000002,0,0.27000000000000002,0.29999999999999999,1.3600000000000001,1.28,1.55,1.51,1.6699999999999999,1.6899999999999999,1.79,1.8500000000000001,1.8600000000000001,1.8600000000000001,1.77,1.8,1.9100000000000001,1.8200000000000001,2.0600000000000001,2,2.02,1.8100000000000001,1.78,1.77,1.77,1.76,1.8100000000000001
t5,0.47999999999999998,0.47000000000000003,0.35999999999999999,0.37,0.27000000000000002,0,0.14999999999999999,1.3600000000000001,1.3100000000000001,1.47,1.51,1.6300000000000001,1.6899999999999999,1.74,1.8700000000000001,1.9000000000000001,1.8500000000000001,1.75,1.75,1.8500000000000001,1.8400000000000001,1.96,1.9000000000000001,1.9100000000000001,1.8300000000000001,1.8,1.8500000000000001,1.8600000000000001,1.79,1.8700000000000001
t14,0.51000000000000001,0.51000000000000001,0.39000000000000001,0.38,0.29999999999999999,0.14999999999999999,0,1.3700000000000001,1.29,1.51,1.53,1.6699999999999999,1.75,1.8100000000000001,1.8,1.8900000000000001,1.8,1.73,1.74,1.8800000000000001,1.8,1.98,1.9000000000000001,1.9199999999999999,1.9000000000000001,1.8600000000000001,1.8100000000000001,1.8100000000000001,1.8100000000000001,1.8500000000000001
t15,1.25,1.26,1.3600000000000001,1.3,1.3600000000000001,1.3600000000000001,1.3700000000000001,0,0.33000000000000002,1.5900000000000001,1.54,1.7,1.6200000000000001,1.6300000000000001,1.5900000000000001,1.73,1.7,1.5900000000000001,1.5800000000000001,1.6699999999999999,1.73,1.6899999999999999,1.71,1.6899999999999999,1.6200000000000001,1.6300000000000001,1.6899999999999999,1.6699999999999999,1.6899999999999999,1.7
t6,1.24,1.25,1.3100000000000001,1.21,1.28,1.3100000000000001,1.29,0.33000000000000002,0,1.6000000000000001,1.53,1.6600000000000001,1.5700000000000001,1.6100000000000001,1.6100000000000001,1.73,1.75,1.6600000000000001,1.6799999999999999,1.76,1.78,1.75,1.8,1.78,1.6600000000000001,1.7,1.71,1.6899999999999999,1.76,1.75
t8,1.45,1.49,1.4399999999999999,1.45,1.55,1.47,1.51,1.5900000000000001,1.6000000000000001,0,1.04,1.6200000000000001,1.6899999999999999,1.6699999999999999,1.71,1.71,1.6000000000000001,1.5900000000000001,1.5700000000000001,1.6699999999999999,1.55,1.79,1.8100000000000001,1.8200000000000001,1.79,1.74,1.6899999999999999,1.6600000000000001,1.6000000000000001,1.7
