taxon,t11,t14,t15,t24,t21,t5,t26,t29,t23,t25,t4,t16,t19,t2,t13,t10,t17,t9,t1,t3,t6,t28,t7,t22,t8,t18,t30,t12,t20,t27
t11,0,0.56000000000000005,1.8600000000000001,2.3300000000000001,2.1699999999999999,0.47999999999999998,0.94000000000000006,1.22,1.02,1.6300000000000001,1.75,0.92000000000000004,0.88,1.3400000000000001,3.4300000000000002,3.4399999999999999,3.48,3,2.75,2.4700000000000002,2.8000000000000003,3.7400000000000002,5,4.1100000000000003,5,3.6800000000000002,3.8900000000000001,1.6400000000000001,2.2200000000000002,1.6799999999999999
t14,0.56000000000000005,0,1.97,2.6000000000000001,2.4399999999999999,0.79000000000000004,1.1200000000000001,1.4399999999999999,1.28,1.78,1.78,1.1400000000000001,1.0900000000000001,1.6500000000000001,3.6600000000000001,3.3799999999999999,3.71,2.98,2.79,2.6299999999999999,3.21,3.9900000000000002,4.5499999999999998,4.2999999999999998,5,3.9199999999999999,3.9300000000000002,1.9299999999999999,2.3500000000000001,1.9199999999999999
t15,1.8600000000000001,1.97,0,1.48,1.5,1.8800000000000001,2.3100000000000001,2.46,2.4700000000000002,2.8000000000000003,2.8599999999999999,2.3900000000000001,2.3500000000000001,2.46,4.4299999999999997,4,4.0300000000000002,3.8599999999999999,3.3000000000000003,3.6400000000000001,4.3399999999999999,4.5,5,4.6299999999999999,5,4.2700000000000005,4.3500000000000005,2.7800000000000002,3.1899999999999999,2.8000000000000003
t24,2.3300000000000001,2.6000000000000001,1.48,0,0.83999999999999997,2.3199999999999998,2.8500000000000001,3.0300000000000002,2.8399999999999999,3.1499999999999999,3.2000000000000002,2.6899999999999999,2.5600000000000001,2.8900000000000001,4.3799999999999999,4.1900000000000004,4.2599999999999998,4.7700000000000005,4.04,4.3100000000000005,4.2400000000000002,4.5600000000000005,5,4.4500000000000002,4.71,4.21,4.6699999999999999,3.0500000000000003,3.73,3.21
t21,2.1699999999999999,2.4399999999999999,1.5,0.83999999999999997,0,2.2400000000000002,2.6899999999999999,2.7400000000000002,2.5100000000000002,2.9100000000000001,3,2.4399999999999999,2.2800000000000002,2.9700000000000002,5,4.5499999999999998,4.9699999999999998,4.3899999999999997,3.7800000000000002,4.3899999999999997,4.1900000000000004,4.8899999999999997,5,5,5,4.7999999999999998,5,3.3799999999999999,3.54,3.1800000000000002
t5,0.47999999999999998,0.79000000000000004,1.8800000000000001,2.3199999999999998,2.2400000000000002,0,1.04,1.48,1.21,1.6200000000000001,1.6799999999999999,1.0800000000000001,1.0700000000000001,1.4199999999999999,3.5300000000000002,3.7000000000000002,3.7400000000000002,3.0500000000000003,2.6600000000000001,2.7200000000000002,2.9700000000000002,3.6800000000000002,4.7199999999999998,4.1100000000000003,4.96,3.6699999999999999,3.8799999999999999,1.78,2.3799999999999999,1.8200000000000001
t26,0.94000000000000006,1.1200000000000001,2.3100000000000001,2.8500000000000001,2.6899999999999999,1.04,0,1.6600000000000001,1.51,1.99,1.99,1.4000000000000001,1.3700000000000001,1.79,3.6099999999999999,3.7000000000000002,3.7800000000000002,2.8700000000000001,2.8599999999999999,3.0500000000000003,3.5800000000000001,4.1399999999999997,4.79,4.6799999999999997,5,4,4.0899999999999999,2.0300000000000002,3.1099999999999999,2.1000000000000001
t29,1.22,1.4399999999999999,2.46,3.0300000000000002,2.7400000000000002,1.48,1.6600000000000001,0,0.42999999999999999,1.46,1.6200000000000001,1.73,1.55,2.1299999999999999,3.8999999999999999,4.1500000000000004,3.9900000000000002,3.3000000000000003,3.3000000000000003,3.3599999999999999,3.3999999999999999,4.2199999999999998,5,5,5,4.1699999999999999,4.5499999999999998,2.5100000000000002,2.9399999999999999,2.5899999999999999
t23,1.02,1.28,2.4700000000000002,2.8399999999999999,2.5100000000000002,1.21,1.51,0.42999999999999999,0,1.3400000000000001,1.4199999999999999,1.48,1.3600000000000001,1.8400000000000001,3.6200000000000001,3.7200000000000002,3.79,2.96,3.02,3.1099999999999999,3.3200000000000003,3.5100000000000002,5,4.5700000000000003,5,4.0200000000000005,4.29,2.1800000000000002,2.8199999999999998,2.1899999999999999
t25,1.6300000000000001,1.78,2.8000000000000003,3.1499999999999999,2.9100000000000001,1.6200000000000001,1.99,1.46,1.3400000000000001,0,0.29999999999999999,1.8800000000000001,1.78,2.3599999999999999,3.79,4.0099999999999998,3.8000000000000003,3.5899999999999999,3.3399999999999999,3.46,3.2200000000000002,4.6799999999999997,5,5,5,4.8100000000000005,4.8600000000000003,2.8599999999999999,3.1400000000000001,2.5899999999999999
