taxon,t19,t5,t25,t23,t13,t28,t26,t18,t8,t7,t6,t20,t3,t2,t24,t9,t14,t10,t1,t17,t22,t12,t21,t4,t30,t27,t29,t11,t15,t16
t19,0,1.4071243980649,1.3557605378581381,1.6016790900786126,1.7409523905608943,1.3810953725861914,1.5091736342546953,1.5698325326419014,1.9814884921224749,1.965521729721913,1.6922237608927218,1.6687657789318684,1.6572504864261408,1.8056031806436594,1.5594499156363206,1.9498188928682629,1.8466167439156067,1.9042101346412199,2.3747655000097443,2.0656142195968479,2.0481825378620613,2.2820089539240236,2.2820089539240236,2.4247770468208949,2.3043629264637091,2.2179397371682685,2.3747655000097443,2.2388196985511044,1.9498188928682629,1.9343713980400712
t5,1.4071243980649,0,0.28740215154033666,0.91134271110995346,1.039690071723689,0.42710289859900841,1.1605887623540698,1.2164872373758571,1.7162756784777971,1.7535353559734139,1.6016790900786126,1.6572504864261408,1.4994299590958657,1.5190182819384643,1.7041736039892388,1.8056031806436594,1.9343713980400712,1.8749770589078043,2.1775081034704127,1.965521729721913,1.9191710737609524,2.3043629264637091,2.3272556004638165,2.5051065654475555,2.2820089539240236,2.0142503593900853,1.9977282038138102,2.1199147127447988,1.7792125947419377,1.7792125947419377
t25,1.3557605378581381,0.28740215154033666,0,0.82650948034464133,0.95952204906001881,0.32325546312404124,1.1338264292357088,1.2093173920222429,1.7409523905608943,1.7792125947419377,1.645873104931761,1.6016790900786126,1.3983685757152222,1.4614248912128511,1.6572504864261408,1.7662872252889481,1.9191710737609524,1.9191710737609524,2.1975088422083533,1.9814884921224749,1.9042101346412199,2.3043629264637091,2.2820089539240236,2.3747655000097443,2.2388196985511044,2.0142503593900853,2.0833717459583929,2.2179397371682685,1.7792125947419377,1.7535353559734139
t23,1.6016790900786126,0.91134271110995346,0.82650948034464133,0,0.67259400424309279,0.69311316045638127,1.4429777096486049,1.4159616710940979,1.8466167439156067,1.9191710737609524,1.7923162507676567,1.7409523905608943,1.645873104931761,1.6235191323920768,1.8466167439156067,2.0142503593900853,2.0310649576345159,1.9814884921224749,2.3272556004638165,2.0142503593900853,2.0310649576345159,2.1975088422083533,2.3747655000097443,2.4775684054179656,2.4247770468208949,2.0656142195968479,2.0656142195968479,2.3272556004638165,1.9814884921224749,1.9042101346412199
t13,1.7409523905608943,1.039690071723689,0.95952204906001881,0.67259400424309279,0,0.8654893071886105,1.4897852062050487,1.4897852062050487,1.9343713980400712,1.9042101346412199,1.7409523905608943,1.7662872252889481,1.6687657789318684,1.7535353559734139,1.8606910754114909,2.1014675311805524,2.0833717459583929,1.965521729721913,2.5051065654475555,2.4247770468208949,2.1775081034704127,2.1199147127447988,2.4775684054179656,2.4247770468208949,2.5334668804397524,2.0310649576345159,2.1014675311805524,2.2820089539240236,2.0310649576345159,1.965521729721913
t28,1.3810953725861914,0.42710289859900841,0.32325546312404124,0.69311316045638127,0.8654893071886105,0,1.1142381063931095,1.1673988273587519,1.7162756784777971,1.6346303701671085,1.5390190206764052,1.5594499156363206,1.4159616710940979,1.4897852062050487,1.6016790900786126,1.7662872252889481,1.819078583886018,1.8466167439156067,2.1775081034704127,1.9191710737609524,1.9042101346412199,2.2179397371682685,2.3043629264637091,2.2820089539240236,2.2601689116105597,1.9814884921224749,2.0481825378620613,2.2388196985511044,1.7535353559734139,1.7662872252889481
t26,1.5091736342546953,1.1605887623540698,1.1338264292357088,1.4429777096486049,1.4897852062050487,1.1142381063931095,0,0.56885467687635038,1.4707845728337123,1.4614248912128511,1.3983685757152222,1.5190182819384643,1.3310838257750406,1.4159616710940979,1.4994299590958657,1.6235191323920768,1.7285339130719095,1.7041736039892388,2.1579197806278128,1.9343713980400712,1.7409523905608943,1.9814884921224749,2.0142503593900853,2.1975088422083533,1.9498188928682629,1.7923162507676567,1.9343713980400712,1.9343713980400712,1.7041736039892388,1.6922237608927218
t18,1.5698325326419014,1.2164872373758571,1.2093173920222429,1.4159616710940979,1.4897852062050487,1.1673988273587519,0.56885467687635038,0,1.645873104931761,1.6687657789318684,1.5091736342546953,1.645873104931761,1.4897852062050487,1.5803298770191572,1.7041736039892388,1.8056031806436594,1.8894811574320531,1.965521729721913,2.399442212092842,2.0310649576345159,1.965521729721913,2.0481825378620613,2.0310649576345159,2.1975088422083533,2.1014675311805524,2.1199147127447988,2.0481825378620613,2.1387272086761691,1.7923162507676567,1.8056031806436594
t8,1.9814884921224749,1.7162756784777971,1.7409523905608943,1.8466167439156067,1.9343713980400712,1.7162756784777971,1.4707845728337123,1.645873104931761,0,1.8466167439156067,1.590944512587376,1.9814884921224749,1.8056031806436594,1.9191710737609524,1.9191710737609524,2.0310649576345159,2.1579197806278128,2.1387272086761691,2.2388196985511044,2.2179397371682685,2.2388196985511044,2.2820089539240236,2.3747655000097443,2.3747655000097443,2.399442212092842,2.3043629264637091,2.3747655000097443,2.2179397371682685,2.0833717459583929,2.0481825378620613
t7,1.965521729721913,1.7535353559734139,1.7792125947419377,1.9191710737609524,1.9042101346412199,1.6346303701671085,1.4614248912128511,1.6687657789318684,1.8466167439156067,0,0.8555933843732676,1.9814884921224749,1.8894811574320531,1.965521729721913,1.9977282038138102,1.9498188928682629,2.1775081034704127,2.1014675311805524,2.5051065654475555,2.2601689116105597,2.3747655000097443,2.3747655000097443,2.5334668804397524,2.3747655000097443,2.5051065654475555,2.2820089539240236,2.3043629264637091,2.4247770468208949,2.1775081034704127,2.1014675311805524
